Tag,Avg_Price,Median_Price,Price_Std,Observations
Healthy,7.519233508211678,3.653125,7.006869681583079,3288
Neutral,6.5275178426601785,2.204,9.642428943428335,1233
Unhealthy,6.4469467707964885,5.274590308370044,5.402305265945428,1096
